Date;username;name;tweet;replies_count;retweets_count;likes_count
2022-11-11 06:59:58 SE Asia Standard Time;spectrumwomen;Spectrum Women;"*** TOMORROW ***  Tickets still available to join Barb Cook on Exploring Late Life Diagnosis, Supports &amp; Beyond!  #event #autisticwomen #autistic #mentalhealth #autism #neurodiversity #adhd @JKPAutism @AspergersVic @AutismAwareAus @AutismSpectAust    https://t.co/dUGQ1o0x3L";0;0;1
2022-11-11 06:59:48 SE Asia Standard Time;dialoguealways;Lessonlearned;Door number 1- Panel observing the effects of toxic environments on the mental health of majority black communities (audience 25)  8 black people screaming at each other over defensive irrelevant nonsense (audience 4,273)   Internal screaming;0;0;0
2022-11-11 06:59:48 SE Asia Standard Time;bobetrada;BobaTrader??;The rollercoaster of trading can take a toll on you.  Its important to take care of your mental health and prioritize that above all else.  I trade my best when im well rested, calm, and in a positive state of mind.;0;0;0
2022-11-11 06:59:44 SE Asia Standard Time;claudes_venture;Claude Mo'Nay;@pesharpe here for the mental health;0;0;1
2022-11-11 06:59:41 SE Asia Standard Time;mrsdocjones;Dr. Camille A. Jones;"Mental Health Tip  Time. We waste so much time. We spend time &amp; engery on worrying about the unknown. Often the next best time of your life is just on the other side of that fear. Take the time to leap. It's time to have new experiences &amp; memories. #mentalhealth @ClinicianFest";0;2;4
2022-11-11 06:59:37 SE Asia Standard Time;jessa_mclean;Jessa ??CHECK OUT MY PODCAST;@CharlieArmstng I appreciate it Charlie. I hope my experience can serve as a warning to more people.  I was always willing to take these hits in order to fight like hell - but that doesn’t make its impact on my mental health any less.  I’ve saved just enough energy to record an episode tonight.;1;0;12
2022-11-11 06:59:30 SE Asia Standard Time;pittstop5;Penny Jayne Lacey (Officer);I know this is a huge , probably profound ask but working with mental health as I do#supportmentaI  I would love you to hear my story I would love it if you took a moment to check out my GoFundMe  https://t.co/QZWWFWA6Rv Your support would mean a lot to me. Thank you so much no;0;0;1
2022-11-11 06:59:29 SE Asia Standard Time;themdm19;Michelle is Anti-War, Opinionated & Uncensored ??;Why is all the mental health care in OC christian? Why did Kelly have to deal with Beckman kids who struggled every day.  Why not lend one of those coaches to JV.  MAYBE  MICHELLE IS A BADASS  WHO CAN COACH BECKMAN JV GIRLS LACROSSE FOR FREE;0;0;0
2022-11-11 06:59:29 SE Asia Standard Time;menshealthuk;Men's Health UK;End your sessions while protecting your mental health  https://t.co/KA3gKQvECx;0;0;0
2022-11-11 06:59:28 SE Asia Standard Time;puja__ray;Puja;"""Cloud Fundamentals"" is next gen of virtualization which allow the owner to focus on their own product rather than focusing on their own data-center.   https://t.co/DkA8SNEcNz  ""Physical and mental Health""are important.  https://t.co/pw6cRNZp1a #VTFoundation #internship";0;0;0
2022-11-11 06:59:25 SE Asia Standard Time;finalenbyboss;they / he ???;i need this tattoo covered up for my mental health at this mf point;0;0;1
2022-11-11 06:59:21 SE Asia Standard Time;thatxshitxcray;c Rayray;"@itziaberryyy Mental health days spent watching Netflix reality shows &gt;&gt;&gt;&gt;&gt;&gt;?????";0;0;0
2022-11-11 06:59:12 SE Asia Standard Time;jd_thejedi;JD the Jedi;Mental health awareness advocates, are you there?!;3;0;21
2022-11-11 06:59:09 SE Asia Standard Time;amused_as_hell;amused_as_hell;"""They also had elevated risks for problems with lungs, heart, blood, kidneys, diabetes, mental health, bones and muscles, and neurological disorders.""";0;0;1
